yıl,motor,güc,km,yakıt,fiyat
2014,1.6,170,124,benzin,455
2015,1.6,170,46,benzin,525
2015,1.6,170,156,benzin,397
2012,2.0,184,265,dizel,287
2016,1.6,170,85,benzin,465
2015,2.0,184,173,dizel,319
2013,1.6,136,130,benzin,330
2016,1.6,170,155,benzin,445
2013,1.6,170,170,benzin,327
2014,1.6,136,180,benzin,312
2013,2.0,184,165,dizel,332
2017,1.8,150,133,dizel,460
2015,1.6,136,78,benzin,375
2015,1.5,136,138,benzin,412
2011,1.6,136,158,benzin,217
2010,2.0,184,303,dizel,185
2010,1.6,136,171,benzin,180
2013,1.6,170,137,benzin,366
2013,2.0,184,205,dizel,340
2006,2.0,184,260,dizel,203
2011,1.6,136,190,benzin,225
2014,2.0,184,154,dizel,395
2006,1.6,136,250,benzin,163
2017,1.8,150,122,dizel,495
2020,1.6,170,13,benzin,840
2015,1.6,170,100,benzin,390
2015,1.6,170,69,benzin,417
2007,2.0,184,262,dizel,198
2015,1.6,170,124,benzin,355
2011,1.6,136,182,benzin,205
2009,2.0,184,240,dizel,195
2008,1.6,170,250,benzin,179
2006,2.0,184,190,dizel,177
2013,2.0,184,69,dizel,365
2013,1.6,136,43,benzin,333
2014,1.6,170,147,benzin,380
2016,1.6,170,112,benzin,495
2013,2.0,184,275,dizel,292
2016,1.6,170,102,benzin,475
2010,2.0,184,189,dizel,230
